AATF	135,182,206
ZNF677	63,248,7
ZNF680	239,95,231
ZNF681	232,10,30
ZNF684	211,38,42
ZNF687	196,156,63
ZNF692	3,224,149
ZNF695	63,222,177
ZNF696	38,43,147
ZNF697	145,197,88
ZNF700	207,229,103
ZNF701	225,200,39
ZNF704	152,238,91
ZNF707	183,193,24
ZNF708	211,107,52
ZNF711	70,207,61
ZNF714	187,110,206
ZNF716	104,227,222
ZNF7	17,94,88
ZNF730	29,237,45
ZNF736	236,168,179
ZNF737	148,76,12
ZNF740	224,112,252
ZNF747	104,86,125
ZNF749	156,192,219
ZNF750	56,56,84
ZNF75A	186,128,214
ZNF75A	222,187,69
ZNF764	200,234,13
ZNF765	172,140,254
ZNF766	224,112,28
ZNF766	238,79,55
ZNF768	89,221,207
ZNF76	89,219,219
ZNF770	108,220,107
ZNF77	33,44,74
ZNF774	86,233,95
ZNF776	74,24,158
ZNF777	114,153,195
ZNF778	145,74,232
ZNF780A	40,8,185
ZNF781	163,124,163
ZNF783	101,47,86
ZNF784	205,125,7
ZNF785	12,126,10
ZNF786	193,132,156
ZNF789	113,221,18
ZNF791	86,68,114
ZNF79	206,62,13
ZNF792	96,10,189
ZNF799	52,121,26
ZNF800	205,174,197
ZNF808	245,224,238
ZNF81	156,41,41
ZNF816	25,104,159
ZNF8	182,120,84
ZNF823	192,236,56
ZNF830	228,126,194
ZNF83	224,112,56
ZNF837	181,61,194
ZNF84	131,155,58
ZNF843	44,85,154
ZNF846	173,71,11
ZNF85	157,231,208
ZNF860	249,2,188
ZNF879	136,179,55
ZNF880	157,204,36
ZNF883	93,221,243
ZNF891	49,175,185
ZNF90	124,1,158
ZNF92	112,224,168
ZNF93	16,238,1
ZSCAN16	242,81,150
ZSCAN18	44,105,243
ZSCAN2	111,62,1
ZSCAN21	247,64,47
ZSCAN22	159,35,51
ZSCAN23	76,86,112
ZSCAN26	145,204,16
ZSCAN29	202,33,4
ZSCAN30	122,219,229
ZSCAN31	202,91,177
ZSCAN4	71,56,63
ZSCAN5A	118,205,67
ZSCAN5C	56,108,80
ZXDB	153,136,66
ZXDC	122,191,150
ZZZ3	196,140,28
